Year,First 5,30-y F5,First 10,30-y F10,First 15,30-y F15,First 20,30-y F20,First 30,30-y F30,First -20,30-y F-20,First -30,30-y F-20
1931,Mar 31,Mar 4,Apr 5,Mar 31,Apr 6,Apr 12,Apr 7,Apr 22,May 14,Jun 8,Dec 4,Nov 27,Jan 30,Dec 21
1932,Feb 25,Mar 5,Apr 15,Apr 1,Apr 16,Apr 11,Apr 20,Apr 21,May 13,Jun 8,Nov 13,Nov 27,Dec 7,Dec 23
1933,Mar 29,Mar 5,Apr 15,Apr 2,Apr 17,Apr 11,Apr 18,Apr 21,Jun 1,Jun 7,Nov 9,Nov 27,Dec 11,Dec 24
1934,Feb 11,Mar 5,Apr 6,Apr 1,Apr 7,Apr 11,Apr 27,Apr 21,May 5,Jun 6,Dec 2,Nov 26,Dec 25,Dec 24
1935,Feb 2,Mar 4,Apr 9,Apr 2,Apr 13,Apr 11,May 17,Apr 21,Jul 1,Jun 4,Nov 5,Nov 26,Dec 10,Dec 23
1936,Apr 9,Mar 3,Apr 13,Apr 2,Apr 18,Apr 11,May 5,Apr 22,May 27,Jun 4,Oct 26,Nov 26,Dec 7,Dec 23
1937,Mar 5,Mar 3,Apr 10,Apr 2,Apr 11,Apr 10,May 3,Apr 21,May 28,Jun 3,Nov 28,Nov 25,Dec 26,Dec 21
1938,Feb 25,Mar 5,Mar 17,Apr 2,Mar 19,Apr 10,Mar 28,Apr 22,Jun 18,Jun 3,Nov 15,Nov 25,Dec 27,Dec 22
1939,Mar 21,Mar 4,Mar 23,Apr 1,Apr 15,Apr 9,Apr 23,Apr 21,May 29,Jun 3,Dec 13,Nov 24,Jan 15,Dec 22
1940,Apr 2,Mar 4,Apr 14,Apr 1,Apr 18,Apr 10,Apr 19,Apr 22,May 11,Jun 3,Nov 27,Nov 25,Dec 12,Dec 24
1941,Apr 4,Mar 5,Apr 9,Apr 2,Apr 11,Apr 10,Apr 26,Apr 22,May 18,Jun 3,Nov 22,Nov 25,Jan 3,Dec 23
1942,Jan 22,Mar 5,Apr 3,Apr 2,Apr 13,Apr 11,Apr 21,Apr 22,Jul 11,Jun 1,Nov 27,Nov 25,Dec 12,Dec 23
1943,Mar 23,Mar 3,Apr 6,Apr 2,Apr 20,Apr 11,Apr 21,Apr 23,May 22,Jun 3,Dec 10,Nov 24,Feb 5,Dec 22
1944,Jan 20,Mar 3,Apr 10,Apr 2,Apr 12,Apr 11,Apr 26,Apr 22,May 27,Jun 3,Dec 10,Nov 25,Jan 4,Dec 24
1945,Mar 12,Mar 2,Mar 20,Apr 2,Mar 21,Apr 11,May 5,Apr 23,Jun 21,Jun 2,Nov 10,Nov 25,Dec 21,Dec 24
1946,Mar 19,Mar 2,Mar 20,Apr 1,Mar 26,Apr 10,Mar 27,Apr 23,May 26,Jun 2,Nov 22,Nov 24,Dec 29,Dec 24
1947,Mar 22,Mar 2,Apr 25,Apr 1,Apr 28,Apr 9,Apr 28,Apr 21,Jul 9,Jun 2,Nov 23,Nov 24,Dec 8,Dec 24
1948,Mar 22,Mar 3,Apr 17,Apr 2,Apr 18,Apr 10,Apr 21,Apr 22,May 19,Jun 4,Dec 9,Nov 23,Dec 10,Dec 24
1949,Apr 2,Mar 3,Apr 6,Apr 2,Apr 10,Apr 10,Apr 27,Apr 22,Apr 28,Jun 4,Nov 25,Nov 24,Dec 23,Dec 24
1950,Apr 15,Mar 3,Apr 16,Apr 3,May 10,Apr 10,May 13,Apr 22,Jun 14,Jun 1,Nov 23,Nov 24,Dec 5,Dec 23
1951,Mar 27,Mar 4,Apr 4,Apr 3,Apr 26,Apr 10,Apr 26,Apr 23,May 23,Jun 1,Nov 5,Nov 24,Dec 18,Dec 23
1952,Jan 31,Mar 5,Mar 31,Apr 3,Apr 7,Apr 11,Apr 15,Apr 23,Apr 26,Jun 1,Dec 18,Nov 23,Jan 15,Dec 23
1953,Mar 17,Mar 5,Mar 31,Apr 3,Apr 20,Apr 11,May 4,Apr 23,May 6,May 31,Dec 15,Nov 23,Dec 29,Dec 23
1954,Mar 23,Mar 7,Apr 9,Apr 3,Apr 14,Apr 11,May 13,Apr 22,Jun 23,May 29,Dec 26,Nov 24,Jan 26,Dec 24
1955,Mar 30,Mar 8,Apr 2,Apr 3,Apr 7,Apr 11,Apr 8,Apr 24,May 20,May 29,Nov 14,Nov 25,Dec 18,Dec 24
1956,Mar 25,Mar 9,Apr 20,Apr 3,May 4,Apr 11,May 21,Apr 23,Jun 8,May 29,Dec 6,Nov 25,Dec 17,Dec 25
1957,Mar 20,Mar 10,Mar 21,Apr 5,Apr 20,Apr 11,Apr 22,Apr 24,Jul 10,May 28,Nov 29,Nov 26,Dec 29,Dec 25
1958,Jan 9,Mar 12,Feb 25,Apr 5,Mar 31,Apr 12,Apr 10,Apr 24,May 12,May 30,Nov 24,Nov 25,Nov 29,Dec 25
1959,Mar 28,Mar 10,Apr 6,Apr 4,Apr 13,Apr 13,Apr 14,Apr 23,Jun 4,May 29,Nov 13,Nov 26,Jan 5,Dec 24
1960,Apr 6,Mar 11,Apr 11,Apr 4,Apr 19,Apr 13,May 11,Apr 23,May 13,May 30,Nov 30,Nov 25,Dec 8,Dec 25
1961,Mar 20,Mar 11,Mar 24,Apr 4,Apr 18,Apr 13,May 4,Apr 25,May 30,May 30,Dec 5,Nov 25,Dec 12,Dec 23
1962,Apr 5,Mar 12,Apr 17,Apr 4,Apr 23,Apr 13,Apr 24,Apr 25,Jun 27,May 30,Dec 10,Nov 26,Jan 11,Dec 23
1963,Feb 5,Mar 12,Mar 22,Apr 4,Mar 23,Apr 14,Apr 14,Apr 25,May 30,May 31,Nov 30,Nov 27,Dec 15,Dec 24
1964,Mar 12,Mar 12,Apr 10,Apr 3,Apr 11,Apr 13,Apr 24,Apr 25,May 21,Jun 1,Nov 19,Nov 27,Dec 2,Dec 24
1965,Apr 9,Mar 14,Apr 13,Apr 3,Apr 14,Apr 13,Apr 28,Apr 24,May 13,May 31,Nov 17,Nov 27,Jan 2,Dec 23
1966,Mar 20,Mar 14,Apr 11,Apr 3,Apr 16,Apr 13,May 4,Apr 24,Jun 18,May 30,Nov 8,Nov 28,Dec 10,Dec 24
1967,Mar 23,Mar 14,Mar 30,Apr 3,Mar 30,Apr 13,May 17,Apr 24,Jul 15,May 31,Nov 28,Nov 27,Dec 28,Dec 24
1968,Mar 7,Mar 15,Mar 17,Apr 4,Apr 10,Apr 13,Apr 11,Apr 26,Jun 3,Jun 1,Dec 13,Nov 28,Dec 24,Dec 24
1969,Apr 6,Mar 14,Apr 7,Apr 3,Apr 12,Apr 13,Apr 13,Apr 25,May 14,Jun 1,Dec 14,Nov 28,Jan 12,Dec 23
1970,Apr 7,Mar 15,Apr 7,Apr 3,May 2,Apr 13,May 6,Apr 25,May 17,Jun 1,Nov 24,Nov 28,Dec 20,Dec 24
1971,Mar 30,Mar 15,Apr 7,Apr 3,Apr 10,Apr 14,Apr 15,Apr 25,Jun 3,Jun 1,Nov 27,Nov 28,Dec 26,Dec 24
1972,Mar 15,Mar 17,Apr 14,Apr 3,Apr 20,Apr 14,Apr 28,Apr 25,May 16,May 31,Nov 14,Nov 28,Dec 2,Dec 24
1973,Jan 24,Mar 17,Mar 21,Apr 3,Mar 26,Apr 14,Apr 13,Apr 25,Jun 14,May 30,Nov 20,Nov 27,Dec 13,Dec 22
1974,Apr 9,Mar 17,Apr 16,Apr 3,Apr 25,Apr 13,Apr 26,Apr 25,Jun 19,May 31,Dec 7,Nov 27,Jan 19,Dec 21
1975,Apr 7,Mar 18,Apr 13,Apr 4,Apr 23,Apr 14,May 6,Apr 25,Jun 20,May 31,Nov 24,Nov 28,Dec 11,Dec 22
1976,Feb 9,Mar 18,Apr 1,Apr 5,Apr 8,Apr 15,Apr 13,Apr 26,Jun 2,Jun 1,Nov 26,Nov 28,Dec 1,Dec 21
1977,Mar 8,Mar 17,Mar 27,Apr 4,Mar 28,Apr 15,Apr 9,Apr 25,May 10,May 31,Nov 21,Nov 28,Dec 9,Dec 21
1978,Mar 21,Mar 17,Apr 16,Apr 3,Apr 22,Apr 14,Apr 27,Apr 25,Jun 18,May 30,Nov 19,Nov 27,Nov 20,Dec 21
1979,Apr 11,Mar 16,Apr 17,Apr 3,May 12,Apr 14,May 16,Apr 25,Jun 13,Jun 1,Dec 11,Nov 27,Jan 8,Dec 20
1980,Mar 29,Mar 16,Apr 4,Apr 3,Apr 6,Apr 14,Apr 17,Apr 25,Apr 20,Jun 1,Nov 30,Nov 28,Dec 24,Dec 21
1981,Feb 15,Mar 16,Mar 11,Apr 3,Apr 9,Apr 14,Apr 15,Apr 25,Jul 5,May 31,Dec 14,Nov 29,Dec 30,Dec 21
1982,Feb 19,Mar 17,Apr 12,Apr 3,Apr 14,Apr 14,Apr 22,Apr 25,May 28,Jun 2,Nov 23,Nov 28,Jan 25,Dec 21
1983,Mar 30,Mar 16,Apr 8,Apr 3,Apr 20,Apr 13,Apr 23,Apr 24,Jun 10,Jun 3,Dec 2,Nov 28,Dec 16,Dec 22
1984,Feb 21,Mar 16,Mar 23,Apr 3,Apr 4,Apr 14,Apr 18,Apr 24,May 16,Jun 3,Nov 19,Nov 27,Dec 23,Dec 20
1985,Feb 28,Mar 15,Apr 2,Apr 3,Apr 11,Apr 14,Apr 14,Apr 24,Apr 28,Jun 2,Nov 13,Nov 27,Nov 24,Dec 20
1986,Jan 8,Mar 14,Mar 28,Apr 2,Apr 6,Apr 13,Apr 10,Apr 23,May 27,Jun 1,Nov 10,Nov 26,Jan 22,Dec 20
1987,Jan 12,Mar 11,Apr 4,Apr 2,Apr 6,Apr 12,Apr 7,Apr 22,Apr 18,May 31,Dec 22,Nov 26,Jan 5,Dec 21
1988,Feb 28,Mar 11,Mar 5,Apr 4,Apr 2,Apr 13,Apr 11,Apr 22,May 25,May 30,Nov 27,Nov 27,Dec 28,Dec 22
1989,Apr 1,Mar 11,Apr 15,Apr 3,Apr 21,Apr 12,Apr 22,Apr 22,May 16,May 29,Nov 15,Nov 27,Dec 12,Dec 22
1990,Jan 10,Mar 10,Mar 30,Apr 3,Apr 18,Apr 12,Apr 19,Apr 21,Apr 23,May 29,Nov 25,Nov 26,Dec 21,Dec 22
1991,Feb 3,Mar 8,Mar 20,Apr 3,Apr 2,Apr 12,Apr 3,Apr 21,May 12,May 28,Nov 24,Nov 26,Dec 15,Dec 22
1992,Feb 29,Mar 6,Apr 5,Apr 2,Apr 27,Apr 11,Apr 28,Apr 20,May 6,May 27,Dec 4,Nov 26,Dec 20,Dec 21
1993,Jan 30,Mar 7,Apr 4,Apr 2,Apr 17,Apr 13,May 3,Apr 21,Jun 11,May 26,Nov 23,Nov 26,Dec 25,Dec 21
1994,Mar 2,Mar 5,Mar 30,Apr 2,Apr 11,Apr 13,Apr 17,Apr 21,May 18,May 27,Dec 4,Nov 26,Jan 4,Dec 22
1995,Mar 11,Mar 4,Apr 12,Apr 2,Apr 14,Apr 13,May 6,Apr 21,May 30,May 27,Nov 11,Nov 26,Dec 9,Dec 22
1996,Mar 12,Mar 4,Apr 17,Apr 2,May 5,Apr 13,May 18,Apr 21,Jun 9,May 26,Nov 11,Nov 27,Dec 19,Dec 22
1997,Mar 26,Mar 3,Apr 19,Apr 2,May 4,Apr 14,May 4,Apr 21,May 31,May 25,Nov 23,Nov 26,Jan 12,Dec 22
1998,Feb 23,Mar 4,Mar 26,Apr 4,Apr 3,Apr 15,Apr 22,Apr 22,Jul 10,May 25,Dec 6,Nov 25,Dec 21,Dec 22
1999,Feb 26,Mar 3,Mar 26,Apr 3,Mar 30,Apr 14,Apr 13,Apr 22,May 28,May 27,Dec 15,Nov 25,Dec 21,Dec 22
2000,Feb 21,Mar 1,Mar 4,Apr 3,Mar 6,Apr 13,Apr 21,Apr 21,May 2,May 27,Nov 21,Nov 26,Dec 9,Dec 22
2001,Mar 28,Feb 28,Apr 6,Apr 2,Apr 19,Apr 12,Apr 25,Apr 21,Jun 23,May 26,Dec 8,Nov 26,Jan 27,Dec 21
2002,Jan 8,Feb 28,Apr 11,Apr 1,Apr 12,Apr 12,Apr 12,Apr 21,Jun 6,May 27,Nov 13,Nov 26,Jan 22,Dec 23
2003,Jan 7,Feb 28,Mar 22,Apr 2,Mar 22,Apr 13,Apr 9,Apr 21,Jun 15,May 27,Nov 7,Nov 26,Dec 11,Dec 24
2004,Mar 19,Feb 24,Apr 1,Apr 1,Apr 6,Apr 12,Apr 24,Apr 21,Jun 29,May 27,Dec 1,Nov 25,Dec 18,Dec 23
2005,Mar 27,Feb 24,Apr 2,Apr 1,Apr 6,Apr 11,Apr 8,Apr 20,May 20,May 27,Nov 16,Nov 25,Jan 22,Dec 23
2006,Mar 29,Feb 25,Apr 5,Apr 1,Apr 9,Apr 11,Apr 15,Apr 20,Jun 29,May 27,Nov 30,Nov 25,Jan 11,Dec 25
2007,Jan 3,Feb 26,Apr 13,Apr 1,Apr 15,Apr 11,Apr 18,Apr 20,May 9,May 28,Nov 26,Nov 25,Dec 8,Dec 26
2008,Apr 2,Feb 23,Apr 3,Apr 1,Apr 14,Apr 11,Apr 18,Apr 20,Aug 16,May 27,Dec 1,Nov 26,Dec 11,Dec 27
2009,Mar 15,Feb 23,Apr 11,Mar 31,Apr 14,Apr 10,May 4,Apr 19,Jun 18,May 29,Dec 5,Nov 25,Jan 1,Dec 26
2010,Mar 12,Feb 23,Mar 13,Apr 1,Mar 29,Apr 10,Apr 14,Apr 19,Jul 1,May 31,Nov 22,Nov 25,Dec 12,Dec 26
2011,Apr 2,Feb 23,Apr 6,Apr 1,Apr 11,Apr 10,Apr 29,Apr 19,Jun 29,May 31,Nov 19,Nov 25,None,Dec 26
2012,Jan 5,Feb 25,Mar 11,Apr 1,Mar 16,Apr 10,Mar 18,Apr 20,Jun 7,Jun 1,Nov 23,Nov 24,Jan 20,Dec 24
2013,Apr 24,Feb 22,Apr 26,Mar 31,Apr 26,Apr 9,May 6,Apr 18,Jun 25,Jun 1,Nov 22,Nov 24,Dec 10,Dec 26
2014,Apr 6,Feb 24,Apr 9,Apr 1,Apr 23,Apr 9,May 10,Apr 19,May 24,Jun 3,Nov 20,Nov 24,Dec 28,Dec 25
2015,Mar 9,Feb 25,Mar 14,Apr 1,Apr 1,Apr 10,Apr 11,Apr 20,Jul 26,Jun 3,Dec 19,Nov 24,Jan 17,Dec 26
2016,Mar 7,Feb 28,Mar 11,Apr 1,Apr 13,Apr 10,Apr 20,Apr 20,May 5,Jun 5,Dec 9,Nov 26,Dec 17,Dec 26
2017,Feb 17,Mar 2,Mar 29,Mar 31,Apr 8,Apr 10,Apr 14,Apr 20,Jun 2,Jun 6,Nov 9,Nov 25,Dec 24,Dec 26
2018,Mar 27,Mar 1,Apr 17,Apr 1,Apr 20,Apr 10,Apr 25,Apr 21,May 7,Jun 6,Nov 17,Nov 25,Jan 18,Dec 25
2019,Mar 21,Mar 1,Apr 15,Apr 1,Apr 16,Apr 10,Apr 24,Apr 21,May 30,Jun 6,Nov 10,Nov 25,Dec 14,Dec 27
2020,Mar 27,Mar 3,Mar 30,Apr 1,Apr 23,Apr 10,Apr 30,Apr 21,Jun 1,Jun 7,Dec 13,Nov 24,Jan 26,Dec 27
2021,Feb 22,Mar 5,Mar 8,Apr 1,Mar 19,Apr 11,Apr 22,Apr 22,May 17,Jun 8,Nov 24,Nov 25,Dec 28,Dec 28
2022,Mar 19,Mar 5,Apr 10,Apr 1,May 4,Apr 9,May 6,Apr 22,Jun 19,Jun 8,Dec 2,Nov 25,Dec 6,Dec 28
2023,Apr 8,Mar 7,Apr 11,Apr 1,May 2,Apr 10,May 3,Apr 22,May 25,Jun 9,Dec 18,Nov 25,Jan 18,Dec 28
2024,Feb 24,Mar 8,Mar 11,Apr 1,Apr 7,Apr 11,Apr 24,Apr 22,May 11,Jun 9,Nov 29,Nov 25,Dec 11,Dec 28
2025,Mar 20,Mar 7,Mar 26,Mar 31,Apr 11,Apr 10,Apr 20,Apr 22,May 11,Jun 8,Dec 3,Nov 26,Dec 19,Dec 28
2026,Mar 8,Mar 8,Apr 11,Mar 30,Apr 15,Apr 10,Apr 22,Apr 21,May 28,Jun 7,-,Nov 27,-,Dec 28
2027,-,Mar 7,-,Mar 30,-,Apr 9,-,Apr 20,-,Jun 7,-,-,-,-
